"Date","ReferenceNo.","Type","Description","Debit","Credit","CheckNumber","Balance"
"12/14/2023","","DEBIT","Withdrawal  @ LINDA'S TAQUERIA ME 0 LINDA'S TAQUERIA SACRAMENTO CA US","-14.51","","","62.79"
"12/14/2023","","DEBIT","Withdrawal  @ DALEK ONE* SUBSCR 1 0 DALEK ONE* SUBSC HTTPSDALEKONEMN US","-7","","","55.79"
"12/16/2023","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-7.89","","","47.9"
"12/16/2023","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","247.9"
"12/16/2023","","DEBIT","Withdrawal ATM OVERDRAFT PROTECTION FEE","-2","","","245.9"
"12/16/2023","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-11.17","","","234.73"
"12/16/2023","","DEBIT","Withdrawal  @ SPLICE.COM* SPLICE 0 SPLICE.COM* SPLI SPLICE.COM NY US","-9.99","","","224.74"
"12/16/2023","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-15.41","","","209.33"
"12/16/2023","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-85.48","","","123.85"
"12/16/2023","","DEBIT","Withdrawal  @ CASH APP*TEMPLE COF 0 CASH APP*TEMPLE 800-9691940 CA US","-7.8","","","116.05"
"12/17/2023","","DEBIT","Withdrawal  @ LYFT RIDE SAT 1AM 0 LYFT RIDE SAT 855-865-9553 CA US","-14.79","","","101.26"
"12/17/2023","","DEBIT","Withdrawal  @ SQ *PACHAMAMA COFFE 0 SQ *PACHAMAMA CO Sacramento CA US","-13.62","","","87.64"
"12/17/2023","","DEBIT","Withdrawal  @ SOCAL'S TAVERN 0 SOCAL'S TAVERN SACRAMENTO CA US","-25.84","","","61.8"
"12/18/2023","","DEBIT","Withdrawal  @ CASH APP*TEMPLE COF 0 CASH APP*TEMPLE 800-9691940 CA US","-25.4","","","36.4"
"12/19/2023","","DEBIT","Withdrawal  @ SPOTIFY 0 SPOTIFY 877-778-1161 NY US","-10.99","","","25.41"
"12/19/2023","","DEBIT","Withdrawal  @ Prime Video Channel 0 Prime Video Chan amzn.com/billWA US","-11.99","","","13.42"
"12/19/2023","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","213.42"
"12/19/2023","","DEBIT","Withdrawal ATM OVERDRAFT PROTECTION FEE","-2","","","211.42"
"12/20/2023","","DEBIT","Withdrawal  @ LINDA'S TAQUERIA ME 0 LINDA'S TAQUERIA SACRAMENTO CA US","-15.78","","","195.64"
